"","cvms_cvfs_1","SEC_1"
"246",4,2.75
"247",5,3
"248",NA,3
"249",3,4.25
"250",5,3.5
"251",NA,3.5
"252",4,4
"253",NA,3.75
"254",NA,4.25
"255",2.5,1.75
"256",3,2.5
"257",3,1.75
"258",4,3.75
"259",4,3
"260",NA,2.5
"261",4,4.25
"262",5,3.75
"263",3,1.5
"264",4,4
"265",4,4.25
"266",3,1.75
"267",2.5,3.5
"268",NA,2.75
"269",4,4.25
"270",3,3.25
"271",NA,3.5
"272",NA,3.25
"273",4.5,3
"274",NA,2.5
"275",4,3.5
"276",4,2.25
"277",NA,2.75
"278",4,2.25
"279",5,4
"280",4.5,4
"281",5,2.25
"282",5,2.75
"283",4,3.75
"284",3,2
"285",3,2.5
"286",NA,1.75
"287",2.5,1.75
"288",5,4.25
"289",3,1.75
"290",5,3.5
"291",4,2.25
"292",4,2.25
"293",5,4
"294",NA,2.25
"295",4.5,1.25
"296",5,4
"297",5,3.75
"298",5,3.5
"299",4,2.5
"300",4.5,4.75
"301",2.5,1
"302",2.5,2.75
"303",2.5,2.25
"304",2,3.25
"305",2.5,1.25
"306",3.5,3
"307",2.5,4.5
"308",3,2.75
"309",2.5,1
"310",NA,3.75
"311",2.5,3.25
"312",NA,4.75
"313",3,4.25
"314",3,3.5
"315",3.5,4.25
"316",4,3.66666666666667
"317",2.5,1.5
"318",NA,3.25
"319",3,1
"320",NA,3.25
"321",2.5,2.75
"322",2.5,3.75
"323",2.5,4
"324",NA,4.25
"325",5,4.75
"326",2,1.75
"327",NA,5
"328",2.5,4.5
"329",2.5,3.5
"330",2,3
"331",2.5,4
"332",4,2
"333",4,3.75
"334",2.5,3.75
"335",3,4.5
"336",2.5,2.33333333333333
"337",3,3.75
"338",NA,2.75
"339",NA,1.33333333333333
"340",4,3.25
"341",3.5,3.25
"342",5,2.75
"343",5,2
"344",5,4.25
"345",5,3.25
"346",5,2
"347",NA,4.75
"348",5,1.75
"349",5,4.25
"350",5,3.5
"351",5,2.25
"352",5,3.25
"353",5,1.75
"354",5,1.25
"355",5,2.75
"356",5,2.5
"357",5,3.25
"358",5,4.25
"359",4,1
"360",5,4.5
"361",5,4
"362",NA,1
"363",5,2.5
"364",NA,4.75
"365",5,5
"366",5,3
"367",4,4.75
"368",4.5,2.25
"369",2.5,4.75
"370",4,3.25
"371",3,4.25
"372",2,2.75
"373",3.5,4.75
"374",4,1.75
"375",4,4.5
"376",5,1.5
"377",5,4.5
"378",4.5,2
"379",4,3.5
"380",2,3.25
"381",NA,3
"382",2,4
"383",3,2.75
"384",3.5,4
"385",NA,3.25
"386",NA,1
"387",2.5,2
"388",3,2.75
"389",NA,2
"390",3,3
"391",NA,1.25
"392",NA,3
"393",NA,1.25
"394",2,5
"395",3,3.75
"396",NA,3.25
"397",4,4.5
"398",NA,2.5
"399",5,2.33333333333333
"400",NA,2.75
"401",3.5,3
"402",3,3.75
"403",4,4.75
"404",3.5,2
"405",5,3.5
"406",5,3.75
"407",NA,3.25
"408",NA,3.75
"409",NA,4.75
"410",NA,2.25
"411",NA,3.75
"412",3,2
"413",NA,4
"414",NA,3.75
"415",NA,5
"416",NA,2
"417",NA,4
"418",NA,2.5
"419",NA,3
"420",4,5
"421",NA,4
"422",NA,4
"423",2.5,2
"424",2,4
"425",2.5,4.5
"426",2.5,5
"427",2.5,3.75
"428",2.5,4.5
"429",2.5,4.5
"430",4,4.25
"431",4.5,3.75
"432",NA,1.5
"433",3.5,4
"434",NA,2.25
"435",NA,2.25
"436",2,4
"437",3,5
"438",NA,3
"439",NA,3
"440",NA,3.5
"441",3,2.75
"442",NA,3.25
"443",5,3.5
"444",5,3
"445",3,4.5
"446",5,3.5
"447",NA,3
"448",5,3
"449",5,4.25
"450",4.5,5
"451",5,4.5
"452",3,4.5
"453",3.5,2.5
"454",5,4
"455",NA,1
"456",NA,3
"457",NA,5
"458",NA,5
"459",2.5,1
"460",NA,4.25
"461",NA,4.5
"462",NA,5
"463",NA,1
"464",1,3
"465",3,2
"466",4,3.25
"467",NA,3.5
"468",5,3.66666666666667
"469",NA,2.25
"470",2,5
"471",NA,2.75
"472",NA,2.25
"473",2.5,2.75
"474",NA,2.75
"475",3.5,3
"476",5,3.5
"477",4,1
"478",3,5
"479",3,3
"480",NA,3.25
"481",2,2.5
"482",3.5,3.5
"483",3,4.25
"484",3.5,4.75
"485",NA,2
"486",2,4.75
"487",3,3.75
"488",4,4.5
"489",NA,2.5
"490",NA,2.75
"491",3.5,4.25
"492",4,4.25
"493",2.5,3.75
"494",3,2.25
"495",4,3.5
"496",3,3.75
"497",3,2.25
"498",4,4
"499",2.5,4.75
"500",NA,2.25
"501",3.5,3.5
"502",4,1.75
"503",3.5,3.25
"504",NA,3.5
"505",3,2.25
"506",2,3
"507",4,2
"508",4,4
"509",1.5,2.75
"510",2.5,3.25
"511",2,5
"512",3,3
"513",2,3.5
"514",3,1.5
"515",NA,3.5
"516",2,3
"517",2.5,1.75
"518",3.5,3
"519",4,1
"520",NA,3.5
"521",3,4.25
"522",2.5,1.25
"523",1,3.75
"524",2,4.33333333333333
"525",2,4
"526",NA,2
"527",2,1.75
"528",NA,2.25
"529",NA,2
"530",3,3.75
"531",2,1.25
"532",2,5
"533",2,3.75
"534",NA,3.25
"535",4.5,1.25
"536",2.5,3
"537",NA,3
"538",1,3
"539",3.5,4.5
"540",5,3.5
"541",1,2.66666666666667
"542",5,5
"543",5,3.75
"544",4,2
"545",3,4
"546",3,3
"547",5,4.5
"548",4,3.75
"549",5,3
"550",NA,1.5
"551",3,4.25
"552",5,4
"553",5,4.75
"554",5,5
"555",5,4.5
"556",3.5,5
"557",3,2.25
"558",4,4
"559",3,2
"560",5,3
"561",5,4.5
"562",5,4.25
"563",4.5,5
"564",3.5,4.25
"565",NA,3.5
"566",3,4.5
"567",4,4.25
"568",NA,4.75
"569",NA,NA
"570",3.5,3
"571",NA,3.75
"572",5,5
"573",2,4
"574",3.5,3
"575",3.5,4.25
"576",5,3.75
"577",2.5,3.75
"578",2.5,4
"579",NA,3
"580",4,3.25
"581",5,NA
"582",5,3.5
"583",5,5
"584",5,2.75
"585",4,4
"586",2.5,1.25
"587",5,2.5
"588",3,2
"589",3,3
"590",5,3.75
"591",NA,5
"592",3,2
"593",5,4.5
"594",5,4.5
"595",3,3.75
"596",3,4.25
"597",2.5,3.75
"598",2.5,4.25
"599",3,3.25
"600",4,4.75
"601",5,4
"602",NA,4.25
"603",4,2.75
"604",2.5,3.25
"605",3,3.5
"606",5,3
"607",2,4
"608",2,3.25
"609",3,3.75
"610",NA,3.5
"611",5,3
"612",5,3.5
"613",4,4.25
"614",4,3.75
"615",NA,3.75
"616",2,3.75
"617",NA,5
"618",NA,3
"619",1,2.75
"620",1,3.5
"621",2,4.25
"622",3.5,2.75
"623",NA,3
"624",1,3.5
"625",1,1.5
"626",NA,4
"627",3,3.25
"628",1,2.5
"629",3,2
"630",NA,2.75
"631",NA,3.5
"632",NA,3
"633",1.5,3.5
"634",2.5,5
"635",NA,3.75
"636",NA,2
"637",4,4
"638",NA,3
"639",NA,4.5
"640",2,2.25
"641",NA,3.25
"642",NA,3.5
"643",4.5,3.75
"644",NA,1.5
"645",NA,3
"646",NA,4.25
"647",NA,5
"648",NA,2.25
"649",NA,4
"650",NA,2.25
"651",5,3
"652",NA,3.5
"653",NA,2.25
"654",5,3.25
"655",5,5
"656",5,2
"657",NA,2
"658",4,2.66666666666667
"659",4,4
"660",NA,1.5
"661",5,3.75
"662",4,4.25
"663",5,3.25
"664",5,1.75
"665",5,4.25
"666",5,4.25
"667",5,4
"668",5,1.75
"669",5,3.75
"670",3,3.25
"671",5,4.75
"672",NA,5
"673",4,2.33333333333333
"674",4.5,2.5
"675",5,4
"676",3.5,3.75
"677",4,3.25
"678",5,2.75
"679",3,1
"680",5,4
"681",2.5,2.75
"682",5,2.75
"683",NA,3
"684",2,2.75
"685",4,2.5
"686",3,3.5
"687",2,3.25
"688",2,3.75
"689",NA,2.25
"690",4,3.5
"691",4,1.5
"692",NA,3
"693",5,3.5
"694",NA,4
"695",NA,2.5
"696",NA,2.75
"697",NA,4.75
"698",NA,3.5
"699",NA,3
"700",5,5
"701",4,2.75
"702",NA,3.25
"703",5,5
"704",NA,1
"705",NA,3
"706",NA,3
"707",NA,5
"708",3.5,3.5
"709",NA,3
"710",NA,4.75
"711",NA,3.5
"712",NA,2.75
"713",NA,4
"714",NA,2
"715",NA,3.5
"716",1,3.5
"717",NA,3.25
"718",3,3.75
"719",NA,1.5
"720",NA,4.5
"721",NA,4.25
"722",2.5,2
"723",NA,2.25
"724",5,4.5
"725",NA,2.5
"726",5,1.25
"727",5,1.25
"728",5,2
"729",3,2.75
"730",5,3
"731",5,4.25
"732",NA,2.5
"733",5,3
"734",5,2.25
"735",5,4.5
"736",5,2.5
"737",4,3
"738",3.5,1.5
"739",NA,1.25
"740",5,3.5
"741",3.5,3.5
"742",2,2.25
"743",1.5,1.75
"744",2,1
"745",1.5,4.75
"746",2.5,4.25
"747",5,2.25
"748",4,2.25
"749",2.5,4.25
"750",NA,3.66666666666667
"751",3,2.5
"752",5,3.25
"753",4,3.75
"754",NA,3.25
"755",4.5,3.5
"756",5,3
"757",2.5,4.25
"758",5,2.25
"759",4,3
"760",5,2.5
"761",2.5,3
"762",2.5,4.5
"763",4,4
"764",3,1.75
"765",NA,4
"766",3,2.75
"767",NA,3.5
"768",4,3
"769",4.5,4.25
"770",NA,3
"771",NA,2.5
"772",NA,3.75
"773",NA,3.75
"774",2.5,2.25
"775",3,3.75
"776",3,5
"777",2,3.75
"778",3.5,2.5
"779",3.5,3.25
"780",3,3.25
"781",4,2.5
"782",3.5,3.75
"783",4,3.75
"784",5,2.66666666666667
"785",4,3.75
"786",5,2.25
"787",5,3.75
"788",4,5
"789",5,3
"790",2.5,4
"791",2.5,2.25
"792",NA,2.75
"793",4.5,4.75
"794",2,4.75
"795",3,2.25
"796",4,3.5
"797",4,4
"798",5,3.75
"799",2.5,2.75
"800",5,4.25
"801",5,3.75
"802",5,3.25
"803",4.5,4
"804",4,3.75
"805",4,3.75
"806",2.5,2.25
"807",2.5,2.75
"808",3,3.25
"809",3.5,1.75
"810",1.5,2.66666666666667
"811",1.5,3
"812",5,5
"813",4,4
"814",5,3.25
"815",NA,1.25
"816",4,3.75
"817",1,3
"818",NA,2.5
"819",5,4.5
"820",4.5,2
"821",3,2.25
"822",1,2.33333333333333
"823",NA,3.5
"824",NA,2.25
"825",NA,2
"826",3,3.5
"827",4,1.5
"828",NA,3.5
"829",5,4.75
"830",2.5,2.5
"831",NA,1.25
"832",NA,5
"833",3,2.5
"834",NA,3
"835",2.5,3.5
"836",NA,2
"837",3,3.25
"838",4,1.75
"839",4.5,3
"840",3.5,3
"841",5,3.5
"842",2.5,2.5
"843",NA,3.5
"844",2.5,2.75
"845",4,4.5
"846",NA,4
"847",4,5
"848",NA,4
"849",3,4.5
"850",3,2
"851",NA,4.75
"852",2,3.75
"853",5,5
"854",4,3.5
"855",4.5,4.5
"856",4,2.75
"857",5,4.5
"858",NA,2.75
"859",5,2.5
"860",5,2
"861",2,4.5
"862",5,4
"863",4,2.75
"864",5,4
"865",5,5
"866",5,4.5
"867",5,3
"868",2,2.5
"869",4.5,5
"870",5,2.5
"871",NA,2.75
"872",4,3.5
"873",5,2.5
"874",NA,NA
"875",4,3.5
"876",NA,3.5
"877",4,4.25
"878",4,4.5
"879",NA,4.75
"880",3,5
"881",NA,4.5
"882",3,4.75
"883",2.5,4.5
"884",2,4.25
"885",3,3.5
"886",3.5,5
"887",NA,3.75
"888",NA,4
"889",3,4.5
"890",NA,3.75
"891",5,5
"892",4,4.5
"893",NA,4.25
"894",4,4
"895",5,5
"896",4,4.5
"897",NA,3
"898",5,5
"899",5,4.25
"900",2.5,3.25
"901",4,5
"902",3.5,2.25
"903",5,4
"904",4,3.25
"905",3.5,5
"906",2.5,4.25
"907",NA,3
"908",5,4.25
"909",3.5,4.25
"910",NA,3.5
"911",5,4
"912",NA,5
"913",NA,2.25
"914",NA,2.5
"915",NA,3.25
"916",1.5,3
"917",1.5,2.5
"918",NA,3.25
"919",2,5
"920",4,1.25
"921",1,2.5
"922",NA,3.75
"923",2.5,3.25
"924",NA,4
"925",2.5,4
"926",1,2.5
"927",NA,2.5
"928",3,3.25
"929",NA,3.75
"930",3,3
"931",3,3.25
"932",5,3.25
"933",3.5,4.25
"934",2.5,4.5
"935",3,4.25
"936",4,4
"937",2.5,3.25
"938",5,4.75
"939",4,3.75
"940",NA,3
"941",2.5,4.25
"942",2.5,4.75
"943",3,3.75
"944",2.5,3.75
"945",4,3.75
"946",NA,2.75
"947",NA,3.25
"948",3.5,2
"949",2,2.5
"950",NA,2.5
"951",5,2.5
"952",5,2.75
"953",4,1.5
"954",3.5,4.25
"955",3.5,2.75
"956",1.5,3.25
"957",2.5,3.5
"958",2,4.25
"959",NA,4.75
"960",3,4.25
"961",3,5
"962",NA,4.25
"963",4,3.25
"964",3,4.25
"965",2.5,4.5
"966",3,2
"967",3,2
"968",NA,3.5
"969",NA,5
"970",3,4.5
"971",2.5,4.25
"972",NA,4.75
"973",1.5,4.25
"974",NA,3.25
"975",NA,4
"976",3,5
"977",2.5,4.25
"978",NA,1.66666666666667
"979",2,1
"980",NA,2
"981",3,3.33333333333333
"982",5,4.5
"983",5,4.5
"984",NA,3.25
"985",3,2.25
"986",NA,2
"987",NA,4.25
"988",NA,1.5
"989",NA,4.75
"990",NA,1.5
"991",3,4.33333333333333
"992",3.5,2.5
"993",NA,2.5
"994",NA,3.25
"995",NA,3.5
"996",3,2.75
"997",NA,2.25
"998",5,4
"999",5,4.75
"1000",NA,3.75
"1001",5,2.75
"1002",5,4.25
"1003",2.5,3
"1004",4,3.75
"1005",5,4.75
"1006",5,2.25
"1007",2.5,2.5
"1008",NA,1.75
"1009",5,4.75
"1010",5,4
"1011",NA,2.25
"1012",3.5,4.5
"1013",3,4.75
"1014",3,3.75
"1015",NA,3.5
"1016",4,3
"1017",4.5,5
"1018",5,3.75
"1019",3.5,2.75
"1020",2,3.75
"1021",4,3.75
"1022",4,2.5
"1023",5,3.25
"1024",3,3
"1025",3,2.25
"1026",NA,5
"1027",NA,4.5
"1028",NA,4.5
"1029",NA,2.5
